irritated,annoying,3.11,-1.67,5.76,-2.15
irritating,annoying,3.11,-1.67,5.76,-2.15
insult,annoying,2.29,-1.33,6,-2.46
insulted,annoying,2.29,-1.33,6,-2.46
jealous,jealous,2.51,-1.83,6.36,-2.66
jealousy,jealous,2.51,-1.83,6.36,-2.66
jipped,unfortunate,2,0,4,0
jolly,happy,7.41,-1.92,5.57,-2.8
joy,happy,8.6,-0.71,7.22,-2.13
joyful,happy,8.22,-1.22,5.98,-2.54
joyous,happy,8.6,-0.71,7.22,-2.13
jumping,excited,8.66,-1.64,6.92,-2.3
lively,lively,7.2,-1.97,5.53,-2.9
loneliness,lonely,1.61,-1.02,4.56,-2.97
lonely,lonely,2.17,-1.76,4.51,-2.68
love,love,8.72,-0.7,6.44,-3.35
loved,love,8.64,-0.71,6.38,-2.68
lovely,love,8.68,-0.71,6.41,-3.015
loving,love,8.68,-0.71,6.41,-3.015
lucky,fortunate,8.17,-1.06,6.53,-2.34
mad,angry,2.44,-1.72,6.76,-2.26
merriment,happy,7.9,-1.49,5.9,-2.42
merry,happy,7.9,-1.49,5.9,-2.42
misery,sad,1.93,-1.6,5.17,-2.69
nasty,mean,3.58,-2.38,4.89,-2.5
neglect,neglected,2.63,-1.64,4.83,-2.31
neglected,neglected,2.63,-1.64,4.83,-2.31
nervous,nervous,3.29,-1.47,6.59,-2.07
neutral,content,5,-1.42,4.7,-2.54
neutralgood,content,6.06,-1.42,4.7,-2.54
nonchalant,indifferent,4.74,-1.11,3.12,-1.93
obnoxious,annoying,3.5,-2.18,4.74,-2.42
ok,content,6.06,-1.42,4.7,-2.54
okay,content,6.06,-1.42,4.7,-2.54
outrage,angry,3.52,-2.12,6.83,-2.26
outraged,angry,3.52,-2.12,6.83,-2.26
outraging,angry,3.52,-2.12,6.83,-2.26
outstanding,happy,7.75,-1.75,6.24,-2.59
overwhelmed,excited,4.19,-2.61,7,-2.37
overjoyed,excited,8.66,-1.64,6.92,-2.3
patient,content,5.29,-1.89,4.21,-2.37
pleased,happy,8.01,-1.32,5.97,-2.55
positive,happy,8,-1.32,5.97,-2.55
pride,confident,7,-2.11,5.83,-2.48
prideful,confident,7,-2.11,5.83,-2.48
protected,safe,7.29,-1.79,4.09,-2.77
proud,confident,8.03,-1.56,5.56,-3.01
rage,angry,2.41,-1.86,8.17,-1.4
raging,angry,2.41,-1.86,8.17,-1.4
regretful,regret,2.28,-1.42,5.74,-2.32
regreting,regret,2.28,-1.42,5.74,-2.32
rejected,neglected,1.5,-1.09,6.37,-2.56
rejecting,neglected,1.5,-1.09,6.37,-2.56
relaxed,calm,7,-1.77,2.39,-2.13
relaxing,calm,7,-1.77,2.39,-2.13
relief,fortunate,7.09,-2,5.16,-2.62
relieved,fortunate,7.09,-2,5.16,-2.62
resent,angry,3.76,-1.9,4.47,-2.12
resentful,angry,3.76,-1.9,4.47,-2.12
resenting,angry,3.76,-1.9,4.47,-2.12
reserved,shy,4.88,-1.83,3.27,-2.05
respect,respect,7.64,-1.29,5.19,-2.39
respectful,respect,7.22,-1.27,4.6,-2.67
reward,rewarded,7.53,-1.67,4.95,-2.62
rewarded,rewarded,7.53,-1.67,4.95,-2.62
sad,sad,1.61,-0.95,4.13,-2.38
sadness,sad,1.61,-0.95,4.13,-2.38
safe,safe,7.07,-1.9,3.86,-2.72
satisfied,content,7.94,-1.19,4.94,-2.63
satisfying,content,7.94,-1.19,4.94,-2.63
scornful,contempt,3.02,-2.03,5.04,-2.56
scorn,contempt,2.84,-2.07,5.48,-2.52
scared,scared,2.78,-1.99,6.82,-2.03
selfish,selfish,2.42,-1.62,5.5,-2.62
serious,serious,5.08,-1.59,4,-1.87
sexy,erotic,8.02,-1.12,7.36,-1.91
shabby,sad,2.13,-1.45,5.07,-2.54
shamed,ashamed,2.5,-1.34,4.88,-2.27
shameful,ashamed,2.5,-1.34,4.88,-2.27
sheltered,safe,5.75,-1.92,4.28,-1.77
shaming,ashamed,2.5,-1.34,4.88,-2.27
shy,shy,4.64,-1.83,3.77,-2.29
silly,happy,7.41,-1.8,5.88,-2.38
sissy,scared,3.14,-1.96,5.17,-2.57
skeptical,curious,4.52,-1.63,4.91,-1.92
slum,sad,2.39,-1.25,4.78,-2.52
soothed,calm,7.3,-1.85,4.4,-3.08
soothe,calm,7.3,-1.85,4.4,-3.08
sour,mean,3.93,-1.98,5.1,-1.95
starving,starving,2.39,-1.82,5.61,-2.53
stress,stressed,2.09,-1.41,7.45,-2.38
startled,surprised,4.5,-1.67,6.93,-2.24
stressful,stressed,2.09,-1.41,7.45,-2.38
stressing,stressed,2.09,-1.41,7.45,-2.38
super,great,9,0,6,0
surprised,surprised,7.47,-1.56,7.47,-2.09
surprising,surprised,7.47,-1.56,7.47,-2.09
suspicious,curious,3.76,-1.42,6.25,-1.59
tense,annoying,3.56,-1.36,6.53,-2.1
terrified,scared,1.72,-1.14,7.86,-2.27
terrible,unhappy,1.93,-1.44,6.27,-2.44
terrific,great,8.16,-1.12,6.23,-2.73
terrifying,scared,1.72,-1.14,7.86,-2.27
thankful,happy,6.89,-2.29,4.34,-2.31
thoughtful,thoughtful,7.65,-1.03,5.72,-2.3
thrilled,happy,8.05,-1.48,8.02,-1.65
thrilling,happy,8.05,-1.48,8.02,-1.65
timid,shy,3.86,-1.55,4.11,-2.09
triumph,confident,7.8,-1.83,5.78,-2.6
troubled,stressed,2.17,-1.21,5.94,-2.36
troubling,stressed,2.17,-1.21,5.94,-2.36
uncomfortable,unhappy,2.19,-1.23,4.17,-2.44
unhappy,unhappy,1.57,-0.96,4.18,-2.5
untroubled,calm,7.62,-1.41,3.89,-2.54
unlucky,unfortunate,2,0,4,0
upset,sad,2,-1.18,5.86,-2.4
upsetting,sad,2,-1.18,5.86,-2.4
wish,fortunate,7.09,-2,5.16,-2.62
wishes,fortunate,7.09,-2,5.16,-2.62
wonder,curious,6.03,-1.58,5,-2.23
yay,great,9,0,7,0
