workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1,pcomp2,dummy
A2HR7ZIX42FEPG,2,0,30,60,0.42,0.31,0.27,30,0.31,0.11,He is relieved he didn't get 0 because of how close he came to getting 0. He is probably disappointed that he didn't 60 but glad that he got something.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
AQ277F26ZFB1K,2,0,30,60,0.42,0.31,0.27,30,0.31,0.007,Eric must be happy he a least won something. 30 is better than nothning,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A117G4HSX1Y0LQ,2,0,30,60,0.42,0.31,0.27,30,0.31,0.161,James is excited about winning anything at all.  That $0 slot on the wheel is very large and he was very nervous about it prior to spinning the wheel.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A2ZAI1UI3BONP9,2,0,30,60,0.42,0.31,0.27,30,0.31,0.519,George is probably upset that he did not win more; but happy that he won money.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A1QF81TW14N20Z,3,0,30,60,0.41,0.37,0.22,60,0.22,0.075,He is really happy. The chances of winning 60 dollars was small. He wasn't expecting to get any money at all.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AHYJONIS0LE1X,3,0,30,60,0.41,0.37,0.22,60,0.22,0.59,Woohoo! Big Winna!,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AHY4ZL9KJP8QQ,3,0,30,60,0.41,0.37,0.22,60,0.22,0.43,Since $60 is a maximum he can win; I'm sure Alex feels great!,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A1MKYMYY34DZIO,3,0,30,60,0.41,0.37,0.22,60,0.22,0.069,He probably feels great because he won the largest amount possible. Even more so because he avoided the $0; which was the largest portion.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A2GXD2V6YEL7OA,3,0,30,60,0.41,0.37,0.22,60,0.22,0.465,He feels awesome,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A3UOH4UMWWV216,3,0,30,60,0.41,0.37,0.22,60,0.22,0.162,good,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A25DHXVNVC0VPW,3,0,30,60,0.41,0.37,0.22,60,0.22,0.125,Frank feels very elated! He won the highest amount and has earned some extra cash.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A12DDKXPSHDPSV,3,0,30,60,0.41,0.37,0.22,60,0.22,0.776,Chris is happy that he won $60; which is the largest amount on the wheel. ,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AHP3TKMY58D8Z,3,0,30,60,0.41,0.37,0.22,60,0.22,0.321,Jake is thrilled. Not only did we win the max prize but he didn't land on 0$!,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
APC3O2O8O9XPO,3,0,30,60,0.41,0.37,0.22,60,0.22,0.433,He felt very disappointing.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A8ZI8HDFJMEWJ,3,0,30,60,0.41,0.37,0.22,60,0.22,0.31,I think he was extremely excited that he won the most available out of the least amout of chances to win.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
A3L9437EC5JYC6,3,0,30,60,0.41,0.37,0.22,60,0.22,0.364,He probably feels pretty lucky. He had a small chance of winning $60; but he won it!,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
AHGAVSKDQXCWM,3,0,30,60,0.41,0.37,0.22,60,0.22,0.034,He is excited because he barely won the maximum prize.  he is also relieved because the no prize was a large portion of the board.,3,24.3,35.7,8.615384615,1,1,7.076923077,1.076923077,1,7.076923077,1,4.854429154,-0.961762348,0
