cellar,anew,4.32,-1.68,4.39,-2.33
cemetery,anew,2.63,-1.4,4.82,-2.66
chair,anew,5.08,-0.98,3.15,-1.77
champ,anew,7.18,-1.97,6,-2.43
champion,anew,8.44,-0.9,5.85,-3.15
chance,anew,6.02,-1.77,5.38,-2.58
chaos,anew,4.17,-2.36,6.67,-2.06
charm,anew,6.77,-1.58,5.16,-2.25
cheated,unfortunate,2,0,4,0
cheer,happy,8.1,-1.17,6.12,-2.45
cheer,anew,8.1,-1.17,6.12,-2.45
cheerful,happy,8.1,-1.17,6.12,-2.45
cheery,happy,8.1,-1.17,6.12,-2.45
child,anew,7.08,-1.98,5.55,-2.29
chin,anew,5.29,-1.27,3.31,-1.98
chocolate,anew,6.88,-1.89,5.29,-2.55
christmas,anew,7.8,-1.55,6.27,-2.56
church,anew,6.28,-2.31,4.34,-2.45
circle,anew,5.67,-1.26,3.86,-2.13
circus,anew,7.3,-1.84,5.97,-2.59
city,anew,6.03,-1.37,5.24,-2.53
cliff,anew,4.67,-2.08,6.25,-2.15
clock,anew,5.14,-1.54,4.02,-2.54
clothing,anew,6.54,-1.85,4.78,-2.88
clouds,anew,6.18,-2.18,3.3,-2.08
clumsy,anew,4,-2.22,5.18,-2.4
coarse,anew,4.55,-1.42,4.21,-1.84
coast,anew,5.98,-1.86,4.59,-2.31
cockroach,anew,2.81,-2.11,6.11,-2.78
coffin,anew,2.56,-1.96,5.03,-2.79
coin,anew,6.02,-1.96,4.29,-2.48
cold,mean,4.02,-1.99,5.19,-2.23
cold,anew,4.02,-1.99,5.19,-2.23
color,anew,7.02,-1.57,4.73,-2.64
column,anew,5.17,-0.85,3.62,-1.91
comedy,anew,8.37,-0.94,5.85,-2.81
comfort,calm,7.07,-2.14,3.93,-2.85
comfort,anew,7.07,-2.14,3.93,-2.85
comfortable,calm,7.07,-2.14,3.93,-2.85
computer,anew,6.24,-1.61,4.75,-1.93
concentrate,anew,5.2,-1.28,4.65,-2.13
confidence,confident,7.98,-1.29,6.22,-2.41
confident,confident,7.98,-1.29,6.22,-2.41
confident,anew,7.98,-1.29,6.22,-2.41
confuse,confused,3.21,-1.51,6.03,-1.88
confused,confused,3.21,-1.51,6.03,-1.88
confused,anew,3.21,-1.51,6.03,-1.88
confusing,confused,3.21,-1.51,6.03,-1.88
consoled,calm,5.78,-1.64,4.53,-2.22
consoled,anew,5.78,-1.64,4.53,-2.22
contempt,contempt,3.85,-2.13,5.28,-2.04
contempt,anew,3.85,-2.13,5.28,-2.04
contemptful,contempt,3.85,-2.13,5.28,-2.04
content,content,7.06,-1.42,4.7,-2.54
contents,anew,4.89,-0.89,4.32,-2.14
context,anew,5.2,-1.38,4.22,-2.24
controlling,anew,3.8,-2.25,6.1,-2.19
cook,anew,6.16,-1.89,4.44,-1.96
cord,anew,5.1,-1.09,3.54,-2.09
cork,anew,5.22,-1.13,3.8,-2.18
corner,anew,4.36,-1.21,3.91,-1.92
corpse,anew,2.18,-1.48,4.74,-2.94
corridor,anew,4.88,-1.14,3.63,-2.41
corrupt,anew,3.32,-2.32,4.67,-2.35
cottage,anew,6.45,-1.52,3.39,-2.54
couple,anew,7.41,-1.97,6.39,-2.31
cow,anew,5.57,-1.53,3.49,-2.13
coward,anew,2.74,-1.64,4.07,-2.19
cozy,anew,7.39,-1.53,3.32,-2.28
crappy,unfortunate,2,0,4,0
crash,anew,2.31,-1.44,6.95,-2.44
crime,anew,2.89,-2.06,5.41,-2.69
criminal,anew,2.93,-1.66,4.79,-2.51
crisis,anew,2.74,-2.23,5.44,-3.07
crown,anew,6.58,-1.42,4.28,-2.53
crucify,anew,2.23,-1.72,6.47,-2.47
crude,mean,3.12,-1.65,5.07,-2.37
crude,anew,3.12,-1.65,5.07,-2.37
cruel,mean,1.97,-1.67,5.68,-2.65
cruel,anew,1.97,-1.67,5.68,-2.65
crushed,anew,2.21,-1.74,5.52,-2.87
crutch,anew,3.43,-1.62,4.14,-2.05
